Order Date,Product Name,Revenue Stream,Unit Price,Quantity
2019-02-20,Product 5,Product,85.36,2
2019-02-20,Product 10,Product,98.0,1
2019-02-20,License 4,License,89.48,3
2019-02-21,Product 12,Product,49.03,1
2019-02-22,Product 2,Product,56.44,1
2019-02-22,Product 3,Product,75.01,3
2019-02-23,Product 4,Product,75.32,3
2019-02-23,Managed Service 2,Managed Service,40.65,2
2019-02-24,License 7,License,82.24,3
2019-02-24,Product 2,Product,19.11,3
2019-02-24,Product 8,Product,56.21,3
2019-02-24,Product 10,Product,40.17,3
2019-02-25,Product 1,Product,54.36,2
2019-02-25,License 1,License,55.57,3
2019-02-25,Product 6,Product,35.14,2
2019-02-26,Product 8,Product,57.62,4
2019-02-26,License 4,License,34.39,3
2019-02-26,License 5,License,1.09,4
2019-02-27,License 9,License,73.91,1
2019-02-27,License 8,License,52.37,4
2019-02-27,License 7,License,50.73,1
2019-02-27,Product 4,Product,75.58,1
2019-02-27,License 2,License,46.33,1
2019-02-28,Product 7,Product,80.19,4
2019-02-28,Product 10,Product,57.21,4
2019-02-28,Product 5,Product,61.81,2
2019-02-28,Managed Service 2,Managed Service,89.7,4
2019-02-28,Product 6,Product,47.0,3
2019-03-01,Managed Service 2,Managed Service,73.16,4
2019-03-01,License 8,License,50.88,3
2019-03-02,Product 2,Product,66.8,2
2019-03-03,Product 12,Product,18.15,1
2019-03-03,Product 2,Product,37.23,2
2019-03-03,Product 9,Product,9.32,3
2019-03-04,Product 6,Product,25.74,2
2019-03-04,Product 3,Product,7.98,4
2019-03-05,Product 1,Product,23.49,2
2019-03-05,Product 7,Product,84.44,3
2019-03-05,Product 3,Product,40.06,1
2019-03-05,Product 9,Product,59.74,2
2019-03-05,License 2,License,14.97,3
2019-03-06,Managed Service 2,Managed Service,1.29,4
2019-03-06,Product 11,Product,16.42,2
2019-03-06,License 2,License,92.93,4
2019-03-06,License 7,License,48.92,3
2019-03-06,Product 2,Product,65.63,1
2019-03-07,Managed Service 2,Managed Service,65.37,1
2019-03-07,License 7,License,96.09,2
2019-03-08,License 1,License,76.16,3
2019-03-08,Managed Service 1,Managed Service,14.22,1
2019-03-08,Product 11,Product,47.75,4
2019-03-08,Product 6,Product,74.68,1
2019-03-08,Managed Service 2,Managed Service,12.72,3
2019-03-09,Managed Service 1,Managed Service,2.98,1
2019-03-09,Product 5,Product,4.97,3
2019-03-09,Product 7,Product,31.17,2
2019-03-09,Product 2,Product,94.27,1
2019-03-10,Product 11,Product,50.98,3
2019-03-10,License 1,License,31.03,1
2019-03-11,Managed Service 2,Managed Service,82.94,2
2019-03-12,Managed Service 1,Managed Service,58.67,3
2019-03-12,License 6,License,22.65,1
2019-03-12,Product 3,Product,53.71,4
2019-03-12,Product 7,Product,53.78,2
2019-03-12,Product 8,Product,98.91,2
2019-03-13,Product 11,Product,33.42,3
2019-03-14,License 6,License,17.19,3
2019-03-14,Managed Service 2,Managed Service,26.01,2
2019-03-14,Managed Service 3,Managed Service,52.06,3
2019-03-14,License 8,License,6.83,4
2019-03-15,Product 3,Product,51.42,3
2019-03-15,Managed Service 1,Managed Service,66.31,1
2019-03-16,Product 10,Product,41.72,1
2019-03-16,Product 4,Product,89.66,3
2019-03-16,License 9,License,40.31,1
2019-03-16,Product 5,Product,58.69,4
2019-03-17,Managed Service 2,Managed Service,14.94,3
2019-03-17,License 8,License,93.5,2
2019-03-17,License 9,License,72.36,4
2019-03-18,License 6,License,93.33,3
2019-03-18,Product 5,Product,47.47,1
2019-03-18,Managed Service 1,Managed Service,44.41,4
2019-03-18,Product 10,Product,53.67,1
2019-03-19,Product 7,Product,41.39,3
2019-03-19,License 9,License,4.27,2
2019-03-19,License 1,License,52.67,2
2019-03-19,License 7,License,81.75,2
2019-03-20,Product 5,Product,29.06,1
2019-03-20,Product 11,Product,47.97,2
2019-03-21,License 5,License,85.74,1
2019-03-21,Product 9,Product,69.64,3
2019-03-22,License 1,License,62.54,3
2019-03-22,License 4,License,99.65,1
2019-03-22,License 1,License,20.62,2
2019-03-22,Product 10,Product,23.46,4
2019-03-22,License 7,License,77.82,2
2019-03-23,Product 1,Product,31.53,2
2019-03-23,Managed Service 2,Managed Service,66.67,1
2019-03-24,Product 7,Product,67.02,3
2019-03-25,Product 3,Product,86.31,1
2019-03-26,License 8,License,46.17,3
2019-03-26,License 1,License,77.66,1
2019-03-26,Product 2,Product,67.96,3
2019-03-26,License 5,License,14.64,3
2019-03-27,License 1,License,85.72,3
2019-03-28,Product 8,Product,70.51,4
2019-03-28,Product 12,Product,29.56,4
2019-03-28,Product 8,Product,23.22,2
2019-03-29,License 8,License,42.13,2
2019-03-29,License 4,License,1.15,4
2019-03-29,License 1,License,38.38,3
2019-03-30,Managed Service 3,Managed Service,7.53,1
2019-03-30,Managed Service 1,Managed Service,98.76,3
2019-03-30,Product 7,Product,82.6,1
2019-03-30,License 9,License,54.99,2
2019-03-31,License 7,License,6.78,4
2019-03-31,License 2,License,65.29,1
2019-03-31,Product 1,Product,0.61,1
2019-03-31,Managed Service 3,Managed Service,34.27,4
2019-04-01,Managed Service 3,Managed Service,14.23,3
2019-04-01,Product 11,Product,91.52,3
2019-04-01,Product 8,Product,34.2,4
2019-04-01,Product 6,Product,40.65,2
2019-04-02,Product 9,Product,88.73,3
2019-04-02,License 7,License,85.74,3
2019-04-02,License 1,License,14.42,3
2019-04-03,License 6,License,36.77,1
2019-04-04,License 1,License,73.68,1
2019-04-04,License 7,License,16.55,1
2019-04-04,License 8,License,10.55,3
2019-04-05,License 5,License,25.92,1
2019-04-05,License 4,License,12.44,2
2019-04-05,License 2,License,27.14,4
2019-04-06,Product 10,Product,96.58,1
2019-04-06,Product 2,Product,36.67,2
2019-04-07,License 4,License,24.49,1
2019-04-07,Product 4,Product,79.44,2
2019-04-08,License 1,License,51.46,2
2019-04-09,Managed Service 2,Managed Service,91.54,3
2019-04-09,Product 5,Product,91.57,1
2019-04-09,Product 6,Product,88.71,3
2019-04-10,License 8,License,47.05,1
2019-04-10,Managed Service 2,Managed Service,49.35,1
2019-04-10,Managed Service 1,Managed Service,3.15,4
2019-04-10,License 2,License,39.27,2
2019-04-10,Product 12,Product,0.77,2
2019-04-11,License 3,License,2.41,1
2019-04-11,Managed Service 3,Managed Service,12.7,4
2019-04-11,Product 5,Product,51.39,3
2019-04-11,License 3,License,43.65,4
2019-04-12,Product 9,Product,98.35,2
2019-04-12,License 7,License,35.18,3
2019-04-12,License 6,License,34.71,4
2019-04-12,Product 8,Product,45.62,1
2019-04-13,License 2,License,43.18,3
2019-04-13,Product 4,Product,57.35,4
2019-04-13,Product 3,Product,63.15,4
2019-04-13,License 2,License,43.53,4
2019-04-13,License 5,License,25.83,3
2019-04-14,License 7,License,0.97,1
2019-04-14,Managed Service 2,Managed Service,86.84,3
2019-04-14,License 1,License,56.76,2
2019-04-14,License 2,License,41.77,4
2019-04-14,Product 5,Product,73.53,3
2019-04-15,Product 12,Product,87.65,2
2019-04-15,License 5,License,57.45,4
2019-04-15,Product 8,Product,89.94,2
2019-04-15,Managed Service 1,Managed Service,73.32,1
2019-04-15,Managed Service 2,Managed Service,4.61,1
2019-04-16,Product 6,Product,29.86,1
2019-04-16,Managed Service 1,Managed Service,16.81,2
2019-04-16,Product 8,Product,11.76,4
2019-04-17,Product 2,Product,97.94,3
2019-04-17,Product 8,Product,59.15,3
2019-04-17,License 9,License,0.62,4
2019-04-18,License 6,License,68.64,4
2019-04-19,Product 10,Product,86.02,4
2019-04-19,Product 9,Product,86.76,3
2019-04-19,License 1,License,53.28,4
2019-04-20,Product 5,Product,69.59,4
2019-04-20,Managed Service 1,Managed Service,23.58,4
2019-04-20,Product 1,Product,40.99,4
2019-04-20,Managed Service 2,Managed Service,71.62,2
2019-04-20,Product 7,Product,49.43,4
2019-04-21,Product 5,Product,92.02,3
2019-04-21,Product 3,Product,43.12,3
2019-04-21,License 3,License,78.67,3
2019-04-21,Product 9,Product,17.63,4
2019-04-22,Product 3,Product,68.59,2
2019-04-22,Product 7,Product,25.56,2
2019-04-22,Product 1,Product,10.57,2
2019-04-22,Product 6,Product,77.68,1
2019-04-23,Product 11,Product,29.96,3
2019-04-23,Product 9,Product,13.97,4
2019-04-23,License 6,License,66.23,3
2019-04-23,Product 10,Product,52.91,1
2019-04-24,License 2,License,57.24,4
2019-04-24,Product 9,Product,85.83,2
2019-04-24,Managed Service 1,Managed Service,31.75,3
2019-04-24,Product 11,Product,10.72,2
2019-04-24,Product 2,Product,39.65,1
2019-04-25,License 9,License,27.02,2
2019-04-25,Managed Service 3,Managed Service,16.63,4
2019-04-25,License 9,License,49.27,2
2019-04-25,Product 6,Product,42.91,4
2019-04-26,Product 3,Product,76.18,1
2019-04-26,Managed Service 3,Managed Service,94.3,2
2019-04-26,Product 5,Product,60.03,2
2019-04-27,License 6,License,40.21,3
2019-04-27,License 1,License,61.0,3
2019-04-27,Product 5,Product,79.48,2
2019-04-28,Product 12,Product,13.69,2
2019-04-28,License 1,License,45.51,4
2019-04-28,License 5,License,67.89,4
2019-04-28,Product 10,Product,96.31,2
2019-04-28,Product 1,Product,93.72,3
2019-04-29,License 6,License,28.35,3
2019-04-30,License 2,License,93.33,1
2019-05-01,License 6,License,11.37,4
2019-05-01,Product 11,Product,9.14,3
2019-05-01,Product 3,Product,74.5,1
2019-05-01,Product 8,Product,9.44,2
2019-05-02,Product 2,Product,27.16,2
2019-05-02,License 8,License,96.38,4
2019-05-02,Product 9,Product,85.94,1
2019-05-03,Product 7,Product,51.29,2
2019-05-04,License 2,License,40.05,1
2019-05-04,Product 7,Product,60.27,1
2019-05-04,License 3,License,86.4,1
2019-05-05,License 5,License,29.93,4
2019-05-05,Managed Service 2,Managed Service,2.77,1
2019-05-06,License 6,License,2.17,2
2019-05-07,Managed Service 3,Managed Service,84.13,3
2019-05-08,Product 9,Product,48.5,1
2019-05-08,License 5,License,47.53,2
2019-05-09,Product 8,Product,51.94,2
2019-05-09,License 2,License,22.3,1
2019-05-09,Product 2,Product,79.91,4
2019-05-09,Product 9,Product,42.55,3
2019-05-10,Product 12,Product,3.22,4
2019-05-10,Managed Service 1,Managed Service,58.16,4
2019-05-10,Managed Service 2,Managed Service,74.41,1
2019-05-11,License 9,License,18.89,4
2019-05-11,License 8,License,14.0,4
2019-05-12,Product 4,Product,95.83,4
2019-05-12,Product 12,Product,28.9,2
2019-05-13,Product 7,Product,49.88,4
2019-05-13,Product 5,Product,97.36,4
2019-05-13,Managed Service 1,Managed Service,94.26,3
2019-05-14,License 5,License,8.86,1
2019-05-14,Product 10,Product,2.97,4
2019-05-14,Managed Service 3,Managed Service,86.2,4
2019-05-14,License 7,License,90.06,4
2019-05-15,License 7,License,0.96,4
2019-05-15,Managed Service 3,Managed Service,89.01,2
2019-05-15,Product 6,Product,10.37,3
2019-05-15,Product 8,Product,68.42,2
2019-05-15,License 9,License,6.74,4
2019-05-16,License 7,License,79.08,1
2019-05-16,License 6,License,71.47,1
2019-05-16,License 1,License,2.52,2
2019-05-16,Product 11,Product,41.16,4
2019-05-16,Product 9,Product,68.69,2
2019-05-17,License 4,License,84.02,3
2019-05-17,License 5,License,67.41,1
2019-05-17,License 9,License,56.12,3
2019-05-18,License 1,License,56.73,3
2019-05-18,Managed Service 3,Managed Service,25.38,4
2019-05-18,Managed Service 2,Managed Service,56.33,3
2019-05-18,Product 3,Product,93.08,1
2019-05-19,Product 12,Product,99.97,4
2019-05-19,License 8,License,22.09,2
2019-05-19,License 4,License,83.54,1
2019-05-19,Product 8,Product,40.51,1
2019-05-19,Product 6,Product,67.23,2
2019-05-20,Product 8,Product,23.99,3
2019-05-21,Product 3,Product,68.48,4
2019-05-22,Product 8,Product,89.19,3
2019-05-23,License 5,License,22.6,3
2019-05-23,License 2,License,61.12,1
2019-05-24,License 3,License,62.37,3
2019-05-25,Product 6,Product,38.8,2
2019-05-25,Product 10,Product,38.23,2
2019-05-25,License 7,License,32.37,1
2019-05-26,License 9,License,47.06,1
2019-05-26,Managed Service 2,Managed Service,76.97,2
2019-05-27,Product 8,Product,22.1,1
2019-05-27,Product 10,Product,62.55,1
2019-05-27,Managed Service 1,Managed Service,3.38,1
2019-05-27,License 1,License,8.4,3
2019-05-28,Product 12,Product,48.41,4
2019-05-28,Product 1,Product,57.22,4
2019-05-28,Product 7,Product,8.89,1
2019-05-28,Product 5,Product,21.89,1
2019-05-28,Product 8,Product,95.05,1
2019-05-29,License 2,License,51.64,3
2019-05-29,Product 1,Product,38.11,3
2019-05-30,Managed Service 2,Managed Service,73.6,3
2019-05-30,Product 11,Product,62.89,3
2019-05-30,License 2,License,2.23,3
2019-05-30,Managed Service 1,Managed Service,79.21,3
2019-05-30,Product 11,Product,4.64,2
2019-05-31,Product 4,Product,44.51,3
2019-05-31,License 1,License,95.37,1
2019-05-31,License 1,License,61.48,3
2019-06-01,License 6,License,90.71,3
2019-06-01,Managed Service 2,Managed Service,29.57,1
2019-06-01,Product 1,Product,22.36,1
2019-06-01,Product 1,Product,50.87,2
2019-06-01,License 3,License,57.31,4
2019-06-02,License 9,License,79.37,4
2019-06-02,Product 12,Product,43.59,4
2019-06-02,License 2,License,47.67,1
2019-06-02,License 2,License,51.1,4
2019-06-03,License 5,License,37.27,4
2019-06-03,License 4,License,84.41,2
2019-06-04,Product 6,Product,52.03,2
2019-06-04,Product 3,Product,52.15,2
2019-06-04,License 2,License,15.4,3
2019-06-04,Product 1,Product,42.25,4
2019-06-05,Product 6,Product,69.03,3
2019-06-05,Product 4,Product,5.82,4
2019-06-05,Product 6,Product,1.1,4
2019-06-05,License 9,License,81.33,2
2019-06-05,Managed Service 3,Managed Service,85.08,1
2019-06-06,Product 8,Product,64.88,1
2019-06-06,License 1,License,78.04,2
2019-06-06,Product 3,Product,36.33,2
2019-06-07,Product 3,Product,25.62,1
2019-06-07,Product 3,Product,95.33,4
2019-06-08,Product 4,Product,68.84,3
2019-06-09,Product 3,Product,16.5,1
2019-06-10,Product 4,Product,97.06,4
2019-06-11,License 3,License,91.64,2
2019-06-11,License 1,License,67.82,1
2019-06-11,Product 8,Product,33.3,3
2019-06-11,License 9,License,51.62,4
2019-06-11,License 2,License,26.04,4
2019-06-12,Product 8,Product,10.92,3
2019-06-13,Product 4,Product,49.6,1
2019-06-13,License 4,License,1.82,1
2019-06-13,Product 3,Product,42.88,1
2019-06-13,Product 7,Product,40.57,3
2019-06-14,Managed Service 2,Managed Service,65.34,4
2019-06-14,Managed Service 1,Managed Service,41.02,2
2019-06-14,License 5,License,82.38,2
2019-06-15,Managed Service 1,Managed Service,48.61,1
2019-06-15,License 9,License,94.32,1
2019-06-16,License 4,License,81.64,2
2019-06-16,License 8,License,42.66,2
2019-06-16,License 9,License,98.66,2
2019-06-16,Product 2,Product,95.8,1
2019-06-16,Product 1,Product,42.14,4
2019-06-17,Managed Service 2,Managed Service,59.14,4
2019-06-17,License 4,License,12.79,2
2019-06-17,Product 8,Product,42.17,4
2019-06-17,Product 5,Product,31.76,3
2019-06-17,License 5,License,72.96,2
2019-06-18,Product 4,Product,92.91,2
2019-06-18,Product 6,Product,10.57,3
2019-06-18,License 2,License,44.54,3
2019-06-18,Product 11,Product,87.74,3
2019-06-19,Managed Service 2,Managed Service,41.2,2
2019-06-19,Product 10,Product,61.46,4
2019-06-19,License 6,License,85.73,1
2019-06-19,Product 7,Product,1.33,1
2019-06-20,Product 1,Product,21.55,1
2019-06-20,Product 1,Product,1.44,3
2019-06-21,Managed Service 2,Managed Service,41.12,1
2019-06-21,Product 8,Product,39.35,2
2019-06-21,Product 4,Product,95.66,3
2019-06-22,Product 11,Product,98.46,4
2019-06-22,License 2,License,19.5,4
2019-06-22,Product 7,Product,37.46,3
2019-06-22,Managed Service 3,Managed Service,90.09,1
2019-06-23,License 9,License,87.14,1
2019-06-23,Product 9,Product,60.76,3
2019-06-23,Product 7,Product,29.52,3
2019-06-24,License 7,License,94.96,4
2019-06-24,License 4,License,97.58,2
2019-06-24,Product 8,Product,92.41,1
2019-06-24,Managed Service 2,Managed Service,29.55,1
2019-06-24,Product 10,Product,74.48,3
2019-06-25,Managed Service 1,Managed Service,62.09,1
2019-06-25,License 6,License,66.69,1
2019-06-26,License 4,License,66.21,4
2019-06-26,Product 12,Product,89.69,3
2019-06-26,Product 6,Product,76.44,4
2019-06-26,License 3,License,57.99,1
2019-06-26,License 8,License,56.15,3
2019-06-27,License 2,License,28.7,3
2019-06-27,Product 1,Product,53.45,1
2019-06-27,Product 12,Product,19.67,2
2019-06-27,Product 12,Product,74.29,3
2019-06-27,Product 6,Product,18.31,3
2019-06-28,Product 12,Product,32.52,2
2019-06-28,Managed Service 1,Managed Service,45.16,3
2019-06-29,License 1,License,27.02,3
2019-06-29,Product 4,Product,7.61,4
2019-06-30,Product 5,Product,2.37,2
2019-06-30,Product 7,Product,84.89,3
2019-07-01,Product 12,Product,32.27,3
2019-07-01,Managed Service 1,Managed Service,23.01,1
2019-07-01,Product 8,Product,1.77,2
2019-07-01,License 3,License,6.62,1
2019-07-01,Managed Service 2,Managed Service,37.8,2
2019-07-02,Product 2,Product,33.15,4
2019-07-03,Product 10,Product,26.22,1
2019-07-04,Managed Service 2,Managed Service,5.92,3
2019-07-04,Product 6,Product,72.03,4
2019-07-04,License 2,License,24.88,3
2019-07-04,Product 2,Product,52.58,2
2019-07-04,License 5,License,10.86,3
2019-07-05,Product 7,Product,58.59,3
2019-07-05,Product 10,Product,90.41,1
2019-07-05,License 5,License,89.62,2
2019-07-06,Product 12,Product,63.65,1
2019-07-06,Product 3,Product,95.38,4
2019-07-06,Product 8,Product,3.43,2
2019-07-06,Product 2,Product,48.0,1
2019-07-06,Product 2,Product,25.06,4
2019-07-07,License 7,License,53.01,4
2019-07-07,License 8,License,22.23,4
2019-07-08,Product 2,Product,20.51,1
2019-07-09,License 7,License,60.26,3
2019-07-09,Product 1,Product,82.09,2
2019-07-09,Product 8,Product,59.19,2
2019-07-09,Product 4,Product,82.35,4
2019-07-10,Managed Service 1,Managed Service,40.88,2
2019-07-10,License 3,License,53.88,3
2019-07-10,Product 9,Product,90.59,1
2019-07-10,License 1,License,75.69,2
2019-07-11,Product 3,Product,8.78,4
2019-07-12,License 5,License,98.77,1
2019-07-12,License 6,License,91.16,2
2019-07-12,Product 1,Product,71.61,1
2019-07-13,License 7,License,96.57,1
2019-07-13,Product 9,Product,79.43,2
2019-07-13,Product 6,Product,71.65,3
2019-07-13,Product 12,Product,33.25,2
2019-07-13,Product 1,Product,31.27,2
2019-07-14,Product 3,Product,33.83,4
2019-07-15,Product 9,Product,73.69,4
2019-07-15,Product 7,Product,28.7,2
2019-07-16,Product 3,Product,9.95,4
2019-07-16,Product 11,Product,81.61,2
2019-07-16,License 8,License,88.29,2
2019-07-16,License 5,License,58.13,4
2019-07-16,License 9,License,26.71,1
2019-07-17,Product 1,Product,37.09,3
2019-07-17,License 7,License,68.35,3
2019-07-17,License 3,License,60.8,1
2019-07-17,Product 11,Product,93.89,3
2019-07-18,Product 7,Product,12.07,2
2019-07-18,Product 7,Product,62.6,2
2019-07-18,License 4,License,89.95,2
2019-07-18,Product 8,Product,16.5,2
2019-07-19,License 4,License,28.52,3
2019-07-19,Product 3,Product,38.05,1
2019-07-19,License 6,License,95.44,2
2019-07-19,License 1,License,4.88,2
2019-07-19,Product 2,Product,54.54,4
2019-07-20,License 5,License,6.81,2
2019-07-20,Product 4,Product,28.63,4
2019-07-20,Product 8,Product,1.24,1
2019-07-21,Product 3,Product,73.38,4
2019-07-21,Product 6,Product,86.97,2
2019-07-21,Product 3,Product,70.42,1
2019-07-21,Product 3,Product,84.33,1
2019-07-21,License 4,License,8.37,3
2019-07-22,Product 5,Product,62.31,4
2019-07-22,Product 8,Product,30.47,1
2019-07-22,Managed Service 1,Managed Service,33.23,3
2019-07-22,License 8,License,72.36,4
2019-07-22,Product 4,Product,98.6,4
2019-07-23,License 8,License,16.29,1
2019-07-23,License 7,License,92.48,3
2019-07-23,Product 7,Product,18.55,3
2019-07-23,Product 3,Product,75.38,2
2019-07-23,Product 7,Product,6.01,3
2019-07-24,Product 4,Product,21.93,3
2019-07-25,Product 9,Product,52.9,4
2019-07-25,License 1,License,98.37,4
2019-07-25,Product 2,Product,69.11,4
2019-07-25,Product 10,Product,68.39,3
2019-07-25,Product 6,Product,97.07,4
2019-07-26,License 5,License,25.67,3
2019-07-26,Managed Service 1,Managed Service,29.94,2
2019-07-26,Product 4,Product,84.61,4
2019-07-27,License 8,License,55.24,3
2019-07-27,Managed Service 1,Managed Service,5.29,2
2019-07-27,Product 12,Product,33.66,3
2019-07-28,Product 10,Product,66.61,1
2019-07-28,License 1,License,6.93,2
2019-07-28,Product 5,Product,48.58,3
2019-07-28,License 7,License,62.69,1
2019-07-29,License 1,License,81.07,3
2019-07-29,Managed Service 1,Managed Service,7.26,3
2019-07-29,License 6,License,85.02,1
2019-07-29,Managed Service 1,Managed Service,78.27,2
